tanggal,pm10,pm25,co,so2,o3,no2,label
1/21/2021,12.43,0,1587.24,17.43,45.1,14.62,baik
1/22/2021,19.92,0,1539.96,15.29,40.88,13.98,baik
1/23/2021,31.58,0,1583.02,14.88,42.33,13.94,baik
1/24/2021,14.74,0,1568.19,13.1,43.5,13.23,baik
1/25/2021,0,0,1585.52,4.36,45.58,13.29,baik
1/26/2021,0,0,1618.17,11.35,50.35,13.58,baik
1/27/2021,17.56,15.88,1613.96,17.3,52.69,13.67,baik
1/28/2021,10.83,9.51,1602.96,21.95,50.06,13.91,baik
1/29/2021,10.27,7.13,1541.88,22.82,52.48,14.15,baik
1/30/2021,15.27,0,1521.08,20.21,47.75,14.02,baik
1/31/2021,16.81,0,1503.88,22.24,46.04,14.1,baik
2/1/2021,17.15,0,1563.98,35.87,50.63,14.15,baik
2/2/2021,9.35,0,1527.27,24.91,47.08,14.13,baik
2/3/2021,7.19,0,1489.65,26.89,44.77,14.04,baik
2/4/2021,9.79,0,1496.81,22.84,43.64,14.02,baik
2/5/2021,10.94,0,1543.56,24.02,41.96,14,baik
2/6/2021,14.38,0,1555.19,24.65,44.83,14.02,baik
2/7/2021,0,0,1535.94,31.27,40.17,14,baik
2/8/2021,0,0,1496.02,25.06,39.4,14,baik
2/9/2021,10,19.56,1568.96,39.61,46.13,14.19,baik
2/10/2021,15,15.52,1532.69,34.33,48.64,14.02,sedang
2/11/2021,16.15,14.75,1518.65,23.52,50.1,14.06,baik
2/12/2021,10.07,13.57,1520.5,21.65,49.52,14.08,baik
2/13/2021,0,0,1574.77,17.76,52.77,14.21,baik
2/14/2021,0,0,1528.85,27.88,53.96,14.27,baik
2/15/2021,15.47,14.4,1529.94,27.44,55.23,14.13,baik
2/16/2021,13.1,15.42,1495.96,31.63,57.85,14.21,baik
2/17/2021,16.04,21,1516.29,33.32,53.58,14.31,sedang
2/18/2021,16.25,21,1532.5,29.07,50.54,14.35,sedang
2/19/2021,15.15,23.96,1379.41,24.64,89.52,13.2,sedang
